,0,1
0,135,340
1,135,341
2,135,342
3,135,343
4,135,344
5,135,345
6,135,346
7,135,347
8,135,348
9,135,349
10,135,350
11,135,351
12,135,352
13,135,353
14,135,354
15,135,355
16,135,356
17,135,357
18,135,358
19,135,359
20,135,360
21,135,361
22,135,362
23,135,363
24,135,364
25,135,365
26,135,366
27,135,367
28,135,368
29,135,369
30,135,370
31,135,371
32,135,372
33,135,374
34,135,375
35,135,376
36,135,377
37,135,378
38,135,379
39,135,380
40,135,383
41,135,384
42,135,385
43,135,389
44,135,390
45,135,391
46,135,394
47,135,395
48,135,396
49,135,398
50,135,399
51,136,335
52,136,336
53,136,337
54,136,338
55,136,339
56,136,400
57,136,401
58,136,402
59,136,403
60,136,404
61,136,405
62,136,406
63,136,407
64,136,408
65,136,409
66,137,332
67,137,333
68,137,334
69,137,409
70,137,410
71,137,411
72,137,412
73,137,413
74,137,414
75,137,415
76,138,330
77,138,331
78,138,416
79,138,417
80,139,328
81,139,329
82,139,339
83,139,340
84,139,341
85,139,348
86,139,349
87,139,360
88,139,361
89,139,362
90,139,363
91,139,364
92,139,365
93,139,366
94,139,367
95,139,368
96,139,369
97,139,370
98,139,371
99,139,372
100,139,373
101,139,374
102,139,375
103,139,376
104,139,377
105,139,378
106,139,379
107,139,380
108,139,381
109,139,382
110,139,383
111,139,384
112,139,385
113,139,386
114,139,388
115,139,389
116,139,390
117,139,391
118,139,392
119,139,393
120,139,394
121,139,395
122,139,396
123,139,397
124,139,398
125,139,399
126,139,400
127,139,418
128,139,419
129,140,325
130,140,326
131,140,327
132,140,335
133,140,336
134,140,337
135,140,338
136,140,341
137,140,342
138,140,343
139,140,344
140,140,345
141,140,351
142,140,352
143,140,353
144,140,354
145,140,355
146,140,361
147,140,362
148,140,363
149,140,401
150,140,402
151,140,403
152,140,404
153,140,405
154,140,406
155,140,407
156,140,408
157,140,409
158,140,420
159,141,323
160,141,324
161,141,325
162,141,332
163,141,333
164,141,334
165,141,335
166,141,355
167,141,356
168,141,362
169,141,363
170,141,410
171,141,411
172,141,412
173,141,413
174,141,414
175,141,415
176,141,421
177,142,321
178,142,322
179,142,323
180,142,330
181,142,331
182,142,332
183,142,357
184,142,358
185,142,364
186,142,416
187,142,417
188,142,422
189,143,318
190,143,319
191,143,320
192,143,328
193,143,329
194,143,330
195,143,358
196,143,359
197,143,365
198,143,418
199,143,423
200,144,317
201,144,318
202,144,326
203,144,327
204,144,360
205,144,361
206,144,366
207,144,419
208,144,424
209,145,315
210,145,316
211,145,323
212,145,324
213,145,325
214,145,362
215,145,367
216,145,368
217,145,420
218,145,424
219,145,425
220,146,313
221,146,314
222,146,315
223,146,321
224,146,322
225,146,323
226,146,363
227,146,368
228,146,421
229,146,425
230,147,312
231,147,313
232,147,319
233,147,320
234,147,364
235,147,369
236,147,370
237,147,421
238,147,426
239,148,310
240,148,311
241,148,318
242,148,319
243,148,365
244,148,370
245,148,422
246,148,426
247,149,308
248,149,309
249,149,316
250,149,317
251,149,366
252,149,370
253,149,422
254,149,426
255,150,307
256,150,308
257,150,315
258,150,366
259,150,370
260,150,422
261,150,426
262,151,304
263,151,305
264,151,306
265,151,313
266,151,367
267,151,368
268,151,369
269,151,370
270,151,423
271,151,426
272,152,303
273,152,304
274,152,311
275,152,312
276,152,423
277,152,426
278,153,301
279,153,302
280,153,309
281,153,310
282,153,423
283,153,426
284,154,300
285,154,301
286,154,307
287,154,308
288,154,423
289,154,426
290,155,299
291,155,305
292,155,306
293,155,423
294,155,426
295,156,297
296,156,304
297,156,305
298,156,423
299,156,426
300,157,296
301,157,302
302,157,303
303,157,423
304,157,426
305,158,294
306,158,295
307,158,301
308,158,302
309,158,423
310,158,426
311,159,293
312,159,294
